Respondent_ID,Q01_Age_Group,Q02_Gender,Q03_Region,Q04_City_Tier,Q05_Monthly_Income,Q06_Household_Size,Q07_Occupation,Q08_Purchase_Motivation_Top2,Q09_Traditional_Crafts_Owned,Q10_Gifting_Occasions,Q11_Gift_Budget_Per_Occasion,Q12_Puja_Frequency,Q13_Last_Purchase_Recency,Q14_Purchase_Frequency_12M,Q15_Historical_Spend_12M,Q16_Product_Category_Interest,Q17_Pooja_Set_Budget,Q17b_Kansa_Dinner_Set_Budget,Q_Preferred_Shopping_Channel,Q18_Top2_Reasons_Buying_Brass,Q19_Current_Buying_Source,Q20_Trust_Moradabad_1to5,Q21_Barrier_Removal_Top2,Q22_Preferred_Offer_Type,Q23_NPS_Score_1to5,Q24_Future_Annual_Spend_TARGET,Q25_Purchase_Likelihood_TARGET,Q_Open_Text_Brass_Meaning
PTMB1520,60 years and above,Male,South India,Metro city,Rs 40001-75000,7+ people (large joint family),Salaried - Private sector,Aesthetics|Value for money,None,Housewarming (Griha Pravesh),Rs 1500-3500,Every single day,More than 1 year ago,1-2 times,More than Rs 20000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 1500-4000,Rs 7000-15000,Amazon or Flipkart,Aesthetic beauty|Health and Ayurvedic benefits,No - want to buy but no trusted brand yet,4,30-day easy return/replacement/refund guarantee|Verified customer reviews with photos,Bundle deal (puja set + water vessel at combined price),5.0,Rs 8001-20000,Definitely yes - buy within first month,"I associate brass with tradition, warmth, and Indian identity."
PTMB1521,18-24 years,Male,East India,Tier-2 city,Rs 20000-40000,5-6 people (medium family),Salaried - Government/PSU,Health & wellness|Sustainability,Brass or copper items|Handmade pottery/terracotta|Silver pooja items/silverware,Birthdays and anniversaries|Housewarming (Griha Pravesh),Rs 500-1500,Every single day,More than 1 year ago,3-5 times,Rs 1-1000,"Brass Water Vessels (lotas, surahi-style jars, storage vessels)",Rs 500-1500,Under Rs 1000,Instagram/Facebook social commerce,Aesthetic beauty|Health and Ayurvedic benefits,Yes - directly from artisans/craft fairs,2,30-day easy return/replacement/refund guarantee|Videos of handcrafting by Moradabad artisans,Early member access (limited-edition drops),4.0,Rs 1000-3000,Maybe - need to see quality and pricing first,"Brass is timeless, beautiful, and heals the body according to Ayurveda."
PTMB1522,60 years and above,Female,South India,Tier-2 city,Rs 40001-75000,1-2 people (nuclear),Salaried - Private sector,Aesthetics|Craft & artistry,Silver pooja items/silverware,Baby showers/naming ceremonies|Diwali|Weddings,Rs 3500-7000,Most days (5-6 days a week),Within last 1 month,1-2 times,Rs 3001-8000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)",Rs 1500-4000,Rs 7000-15000,Brand website (direct online),Aesthetic beauty|Sustainability,Yes - directly from artisans/craft fairs,4,30-day easy return/replacement/refund guarantee|Purity/authenticity certificate (NABL lab),Free premium gift wrapping + handwritten note,4.0,Rs 1000-3000,Probably yes - explore and very likely purchase,
PTMB1523,25-34 years,Male,South India,Tier-2 city,Above Rs 300000,3-4 people (small nuclear),Salaried - Private sector,Craft & artistry|Health & wellness,Stone craft items|Woodcraft/hand-carved wooden items,Diwali|Housewarming (Griha Pravesh),Rs 500-1500,Every single day,More than 1 year ago,1-2 times,Rs 8001-20000,"Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Above Rs 15000,Above Rs 30000,Craft fair/haat/mela/exhibition,Aesthetic beauty|Health and Ayurvedic benefits,No - want to buy but no trusted brand yet,5,30-day easy return/replacement/refund guarantee|Purity/authenticity certificate (NABL lab),Festival cashback (15% off Diwali/Navratri/Akshaya Tritiya),4.0,Rs 3001-8000,Definitely yes - buy within first month,I think of Diwali diyas and temple bells when I hear the word brass.
PTMB1524,18-24 years,Male,West India,Tier-3 town,Rs 75001-150000,1-2 people (nuclear),Student,Craft & artistry|Value for money,None,Baby showers/naming ceremonies|Diwali|Housewarming (Griha Pravesh),Rs 1500-3500,Every single day,3-6 months ago,1-2 times,Rs 3001-8000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)",Rs 4000-8000,Rs 3000-7000,YouTube/influencer recommendation,Cultural and religious significance|Gifting value,No - want to buy but no trusted brand yet,4,30-day easy return/replacement/refund guarantee|Purity/authenticity certificate (NABL lab),Buy more save more (any 3 items 20% off),5.0,Rs 3001-8000,Definitely yes - buy within first month,Brass represents the golden legacy of Indian craftsmanship.
PTMB1525,35-44 years,Male,South India,Tier-2 city,Below Rs 20000,5-6 people (medium family),Business owner/Entrepreneur,Craft & artistry|Value for money,Antique/vintage collectibles|Brass or copper items|Woodcraft/hand-carved wooden items,Birthdays and anniversaries|Corporate gifting|Housewarming (Griha Pravesh),Rs 500-1500,Most days (5-6 days a week),More than 1 year ago,1-2 times,Rs 8001-20000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 1500-4000,Under Rs 1000,Brand website (direct online),Aesthetic beauty|Health and Ayurvedic benefits,"Yes - premium online brand (P-TAL, CopperStudio, Ellementry)",3,Purity/authenticity certificate (NABL lab)|Verified customer reviews with photos,Buy more save more (any 3 items 20% off),3.0,Under Rs 1000,Probably not - have trusted alternatives,I think of Diwali diyas and temple bells when I hear the word brass.
PTMB1526,25-34 years,Male,North India,Tier-3 town,Rs 40001-75000,7+ people (large joint family),Freelancer/Self-employed,Aesthetics|Sustainability,Silver pooja items/silverware|Tribal or folk art,Diwali|Housewarming (Griha Pravesh)|Navratri/Durga Puja/Pongal/regional festivals,Rs 3500-7000,A few times a week,More than 1 year ago,0 times,Rs 0 (did not buy),"Brass Water Vessels (lotas, surahi-style jars, storage vessels)",Rs 8000-15000,Rs 7000-15000,Brand website (direct online),Aesthetic beauty|Health and Ayurvedic benefits,Yes - directly from artisans/craft fairs,5,30-day easy return/replacement/refund guarantee|Verified customer reviews with photos,No offer needed - buy when I like the product,4.0,Rs 1000-3000,Probably not - have trusted alternatives,I think of Diwali diyas and temple bells when I hear the word brass.
PTMB1527,25-34 years,Prefer not to say,South India,Tier-3 town,Rs 150001-300000,3-4 people (small nuclear),Student,Aesthetics|Cultural pride,Handcrafted jewellery|Handloom/block-printed home textiles,Baby showers/naming ceremonies|Diwali,Above Rs 15000,Most days (5-6 days a week),3-6 months ago,3-5 times,Rs 3001-8000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Curated Corporate Gift Sets (hampers, premium branded packaging)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 4000-8000,Rs 15000-30000,Wholesale/direct from artisan,Health and Ayurvedic benefits|Support Indian artisans,No - do not buy brass/traditional products,2,Verified customer reviews with photos|Videos of handcrafting by Moradabad artisans,Festival cashback (15% off Diwali/Navratri/Akshaya Tritiya),1.0,Rs 8001-20000,Definitely not - category not relevant,To me brass is just a metal - I prefer stainless steel honestly.
PTMB1528,25-34 years,Female,North India,Tier-2 city,Below Rs 20000,7+ people (large joint family),Salaried - Government/PSU,Craft & artistry|Cultural pride,Antique/vintage collectibles|Handloom/block-printed home textiles|Stone craft items,Birthdays and anniversaries|Diwali|Housewarming (Griha Pravesh)|Rarely or never give gifts,Rs 500-1500,A few times a week,1-3 months ago,6-10 times,Rs 1-1000,"Brass Urli and Home Decor (urlis, planters, wall art, showpieces)",Rs 500-1500,Rs 1000-3000,Instagram/Facebook social commerce,Cultural and religious significance|Health and Ayurvedic benefits,Yes - directly from artisans/craft fairs,4,Verified customer reviews with photos|Videos of handcrafting by Moradabad artisans,Buy more save more (any 3 items 20% off),4.0,Rs 3001-8000,Probably not - have trusted alternatives,"Brass is timeless, beautiful, and heals the body according to Ayurveda."
PTMB1529,45-59 years,Non-binary / Other,West India,Tier-3 town,Prefer not to disclose,5-6 people (medium family),Business owner/Entrepreneur,Craft & artistry|Cultural pride,Stone craft items,Baby showers/naming ceremonies|Birthdays and anniversaries|Corporate gifting|Diwali,Rs 1500-3500,Only on festivals,More than 1 year ago,6-10 times,More than Rs 20000,"Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 8000-15000,Above Rs 30000,Brand website (direct online),Aesthetic beauty|Status and refined taste,"Yes - premium online brand (P-TAL, CopperStudio, Ellementry)",4,30-day easy return/replacement/refund guarantee|Purity/authenticity certificate (NABL lab),Bundle deal (puja set + water vessel at combined price),4.0,Rs 8001-20000,Maybe - need to see quality and pricing first,To me brass is just a metal - I prefer stainless steel honestly.
PTMB1530,35-44 years,Male,North India,Metro city,Above Rs 300000,5-6 people (medium family),Salaried - Private sector,Cultural pride|Health & wellness,Handcrafted jewellery|Handloom/block-printed home textiles|Silver pooja items/silverware|Tribal or folk art,Baby showers/naming ceremonies|Birthdays and anniversaries,Rs 7000-15000,Rarely or never,More than 1 year ago,1-2 times,Rs 1001-3000,"Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 1500-4000,Rs 15000-30000,Amazon or Flipkart,Aesthetic beauty|Sustainability,No - want to buy but no trusted brand yet,4,30-day easy return/replacement/refund guarantee|Verified customer reviews with photos,Festival cashback (15% off Diwali/Navratri/Akshaya Tritiya),5.0,Rs 8001-20000,Definitely yes - buy within first month,"Premium, durable, and eco-friendly - brass is the future kitchen material."
PTMB1531,25-34 years,Male,South India,Metro city,Below Rs 20000,7+ people (large joint family),Freelancer/Self-employed,Craft & artistry|Value for money,Handcrafted jewellery|Handmade pottery/terracotta|Tribal or folk art,Housewarming (Griha Pravesh)|Navratri/Durga Puja/Pongal/regional festivals|Rarely or never give gifts,Under Rs 500,Every single day,More than 1 year ago,1-2 times,Rs 3001-8000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)",Rs 500-1500,Rs 1000-3000,Wholesale/direct from artisan,Health and Ayurvedic benefits|Status and refined taste,No - do not buy brass/traditional products,4,"Transparency on sourcing (which artisan, which workshop)|Videos of handcrafting by Moradabad artisans",Loyalty reward points,4.0,Rs 3001-8000,Probably yes - explore and very likely purchase,
PTMB1532,35-44 years,Female,North India,Metro city,Above Rs 300000,1-2 people (nuclear),Salaried - Government/PSU,Aesthetics|Sustainability,Brass or copper items|Handmade pottery/terracotta|Stone craft items,Birthdays and anniversaries|Corporate gifting,Rs 7000-15000,A few times a week,6-12 months ago,0 times,Rs 0 (did not buy),"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Curated Corporate Gift Sets (hampers, premium branded packaging)",Rs 1500-4000,Rs 7000-15000,Amazon or Flipkart,Aesthetic beauty|Cultural and religious significance,No - do not buy brass/traditional products,2,30-day easy return/replacement/refund guarantee|Low-cost trial kit/sample set,Custom engraving/personalisation,4.0,Rs 1000-3000,Maybe - need to see quality and pricing first,To me brass is just a metal - I prefer stainless steel honestly.
PTMB1533,45-59 years,Male,South India,Metro city,Rs 40001-75000,7+ people (large joint family),Salaried - Government/PSU,Aesthetics|Value for money,Antique/vintage collectibles|Brass or copper items,Diwali|Navratri/Durga Puja/Pongal/regional festivals|Weddings,Rs 500-1500,Every single day,6-12 months ago,3-5 times,Rs 3001-8000,"Curated Corporate Gift Sets (hampers, premium branded packaging)",Rs 4000-8000,Rs 1000-3000,Instagram/Facebook social commerce,Cultural and religious significance|Sustainability,Yes - local shops/wholesale/roadside,4,Brass care and maintenance guide included|Low-cost trial kit/sample set,Buy more save more (any 3 items 20% off),5.0,Above Rs 50000,Definitely yes - buy within first month,
PTMB1534,25-34 years,Male,East India,Tier-2 city,Rs 150001-300000,3-4 people (small nuclear),Salaried - Government/PSU,Aesthetics|Craft & artistry,Antique/vintage collectibles|Handloom/block-printed home textiles|Silver pooja items/silverware|Stone craft items,Corporate gifting|Diwali,Rs 3500-7000,Only on festivals,3-6 months ago,1-2 times,Rs 1001-3000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Curated Corporate Gift Sets (hampers, premium branded packaging)",Above Rs 15000,Rs 7000-15000,Amazon or Flipkart,Aesthetic beauty|Cultural and religious significance,Yes - directly from artisans/craft fairs,5,"Purity/authenticity certificate (NABL lab)|Transparency on sourcing (which artisan, which workshop)",Custom engraving/personalisation,3.0,Rs 3001-8000,Maybe - need to see quality and pricing first,Brass represents the golden legacy of Indian craftsmanship.
PTMB1535,25-34 years,Male,North India,Semi-rural area,Rs 40001-75000,3-4 people (small nuclear),Business owner/Entrepreneur,Cultural pride|Health & wellness,Handloom/block-printed home textiles|Silver pooja items/silverware,Navratri/Durga Puja/Pongal/regional festivals,Under Rs 500,Only on festivals,6-12 months ago,1-2 times,Rs 1-1000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)|Curated Corporate Gift Sets (hampers, premium branded packaging)",Rs 500-1500,Rs 3000-7000,Local retail store,Cultural and religious significance|Health and Ayurvedic benefits,No - want to buy but no trusted brand yet,3,Low-cost trial kit/sample set|Purity/authenticity certificate (NABL lab),No offer needed - buy when I like the product,3.0,Under Rs 1000,Probably not - have trusted alternatives,
PTMB1536,18-24 years,Male,North India,Tier-3 town,Rs 40001-75000,7+ people (large joint family),Salaried - Private sector,Cultural pride|Value for money,Brass or copper items|Handloom/block-printed home textiles,Baby showers/naming ceremonies|Navratri/Durga Puja/Pongal/regional festivals,Rs 3500-7000,Every single day,More than 1 year ago,1-2 times,Rs 1-1000,"Brass Urli and Home Decor (urlis, planters, wall art, showpieces)",Rs 4000-8000,Rs 1000-3000,Word of mouth/referral,Health and Ayurvedic benefits|Investment and heirloom value,No - want to buy but no trusted brand yet,3,30-day easy return/replacement/refund guarantee|Videos of handcrafting by Moradabad artisans,No offer needed - buy when I like the product,3.0,Rs 1000-3000,Probably not - have trusted alternatives,It is the purest metal for puja and daily rituals in our family.
PTMB1537,25-34 years,Male,North India,Semi-rural area,Rs 75001-150000,7+ people (large joint family),Salaried - Government/PSU,Aesthetics|Sustainability,Handmade pottery/terracotta|Silver pooja items/silverware|Woodcraft/hand-carved wooden items,Birthdays and anniversaries|Corporate gifting|Diwali|Navratri/Durga Puja/Pongal/regional festivals,Above Rs 15000,A few times a week,More than 1 year ago,1-2 times,Rs 3001-8000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)|Curated Corporate Gift Sets (hampers, premium branded packaging)",Rs 4000-8000,Rs 15000-30000,Brand website (direct online),Cultural and religious significance|Gifting value,No - want to buy but no trusted brand yet,4,30-day easy return/replacement/refund guarantee|Low-cost trial kit/sample set,Free premium gift wrapping + handwritten note,4.0,Rs 3001-8000,Maybe - need to see quality and pricing first,"Premium, durable, and eco-friendly - brass is the future kitchen material."
PTMB1538,35-44 years,Male,East India,Tier-2 city,Rs 75001-150000,5-6 people (medium family),Student,Aesthetics|Health & wellness,Handmade pottery/terracotta|Silver pooja items/silverware,Corporate gifting|Housewarming (Griha Pravesh)|Weddings,Rs 500-1500,Only on festivals,1-3 months ago,6-10 times,Rs 1001-3000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)",Rs 8000-15000,Under Rs 1000,Amazon or Flipkart,Gifting value|Support Indian artisans,Yes - Amazon/Flipkart (unbranded/generic),4,"Purity/authenticity certificate (NABL lab)|Transparency on sourcing (which artisan, which workshop)",Free premium gift wrapping + handwritten note,4.0,Rs 20001-50000,Maybe - need to see quality and pricing first,It is the purest metal for puja and daily rituals in our family.
PTMB1539,25-34 years,Female,South India,Tier-2 city,Below Rs 20000,5-6 people (medium family),Student,Health & wellness|Sustainability,Handmade pottery/terracotta|Stone craft items,Diwali|Housewarming (Griha Pravesh),Rs 500-1500,Most days (5-6 days a week),3-6 months ago,3-5 times,Rs 1001-3000,"Curated Corporate Gift Sets (hampers, premium branded packaging)",Rs 500-1500,Rs 1000-3000,Local retail store,Status and refined taste|Support Indian artisans,No - do not buy brass/traditional products,3,30-day easy return/replacement/refund guarantee|Purity/authenticity certificate (NABL lab),Loyalty reward points,3.0,Above Rs 50000,Definitely yes - buy within first month,"Brass is timeless, beautiful, and heals the body according to Ayurveda."
PTMB1540,35-44 years,Male,West India,Tier-2 city,Rs 40001-75000,5-6 people (medium family),Salaried - Government/PSU,Sustainability|Value for money,Silver pooja items/silverware|Tribal or folk art|Woodcraft/hand-carved wooden items,Birthdays and anniversaries|Diwali|Housewarming (Griha Pravesh)|Weddings,Rs 7000-15000,Only on weekends,6-12 months ago,More than 10 times,Rs 1-1000,"Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 500-1500,Rs 7000-15000,Craft fair/haat/mela/exhibition,Aesthetic beauty|Health and Ayurvedic benefits,No - do not buy brass/traditional products,3,30-day easy return/replacement/refund guarantee|Verified customer reviews with photos,Loyalty reward points,2.0,Under Rs 1000,Definitely not - category not relevant,
PTMB1541,35-44 years,Male,North India,Metro city,Rs 20000-40000,7+ people (large joint family),Business owner/Entrepreneur,Cultural pride|Social validation,Handloom/block-printed home textiles|Handmade pottery/terracotta|Silver pooja items/silverware,Corporate gifting|Navratri/Durga Puja/Pongal/regional festivals|Weddings,Rs 1500-3500,Only on weekends,6-12 months ago,1-2 times,Rs 3001-8000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)",Rs 500-1500,Rs 3000-7000,Brand website (direct online),Aesthetic beauty|Health and Ayurvedic benefits,Yes - local shops/wholesale/roadside,5,Low-cost trial kit/sample set|Purity/authenticity certificate (NABL lab),Free premium gift wrapping + handwritten note,4.0,Rs 1000-3000,Probably not - have trusted alternatives,"I associate brass with tradition, warmth, and Indian identity."
PTMB1542,18-24 years,Female,South India,Metro city,Rs 40001-75000,3-4 people (small nuclear),Freelancer/Self-employed,Cultural pride|Status & luxury,Stone craft items|Tribal or folk art|Woodcraft/hand-carved wooden items,Diwali|Navratri/Durga Puja/Pongal/regional festivals|Weddings,Rs 3500-7000,Only on festivals,6-12 months ago,1-2 times,Rs 8001-20000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 500-1500,Rs 3000-7000,Amazon or Flipkart,Cultural and religious significance|Support Indian artisans,Yes - Amazon/Flipkart (unbranded/generic),5,30-day easy return/replacement/refund guarantee|Purity/authenticity certificate (NABL lab),Festival cashback (15% off Diwali/Navratri/Akshaya Tritiya),4.0,Rs 1000-3000,Probably not - have trusted alternatives,
PTMB1543,35-44 years,Male,East India,Tier-3 town,Rs 40001-75000,7+ people (large joint family),Salaried - Private sector,Cultural pride|Health & wellness,Silver pooja items/silverware,Baby showers/naming ceremonies|Rarely or never give gifts|Weddings,Rs 500-1500,Most days (5-6 days a week),More than 1 year ago,0 times,Rs 0 (did not buy),"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 8000-15000,Rs 3000-7000,Amazon or Flipkart,Cultural and religious significance|Gifting value,No - want to buy but no trusted brand yet,4,Purity/authenticity certificate (NABL lab)|Videos of handcrafting by Moradabad artisans,Loyalty reward points,4.0,Under Rs 1000,Definitely yes - buy within first month,
PTMB1544,25-34 years,Male,East India,Village or rural area,Rs 40001-75000,5-6 people (medium family),Freelancer/Self-employed,Cultural pride|Sustainability,Antique/vintage collectibles|Silver pooja items/silverware,Baby showers/naming ceremonies|Diwali|Housewarming (Griha Pravesh)|Navratri/Durga Puja/Pongal/regional festivals,Rs 500-1500,Only on festivals,Never bought,0 times,Rs 0 (did not buy),"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)",Rs 1500-4000,Rs 15000-30000,Brand website (direct online),Support Indian artisans|Sustainability,Yes - local shops/wholesale/roadside,2,Verified customer reviews with photos|Videos of handcrafting by Moradabad artisans,Buy more save more (any 3 items 20% off),2.0,Rs 3001-8000,Definitely not - category not relevant,
PTMB1545,60 years and above,Female,South India,Metro city,Rs 20000-40000,5-6 people (medium family),Salaried - Private sector,Sustainability|Value for money,Antique/vintage collectibles|Handmade pottery/terracotta|Silver pooja items/silverware|Stone craft items,Corporate gifting|Diwali|Housewarming (Griha Pravesh),Rs 500-1500,A few times a week,1-3 months ago,1-2 times,Rs 1001-3000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Curated Corporate Gift Sets (hampers, premium branded packaging)",Rs 8000-15000,Rs 1000-3000,Amazon or Flipkart,Cultural and religious significance|Investment and heirloom value,No - want to buy but no trusted brand yet,4,30-day easy return/replacement/refund guarantee|Low-cost trial kit/sample set,Bundle deal (puja set + water vessel at combined price),3.0,Under Rs 1000,Probably yes - explore and very likely purchase,It connects me to my roots and to the artisans of India.
PTMB1546,35-44 years,Male,North India,Metro city,Below Rs 20000,3-4 people (small nuclear),Homemaker,Aesthetics|Health & wellness,Antique/vintage collectibles|Handmade pottery/terracotta|Woodcraft/hand-carved wooden items,Birthdays and anniversaries|Diwali|Housewarming (Griha Pravesh)|Weddings,Rs 7000-15000,Every single day,More than 1 year ago,6-10 times,Rs 8001-20000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)",Rs 500-1500,Rs 3000-7000,Word of mouth/referral,Aesthetic beauty|Sustainability,Yes - local shops/wholesale/roadside,5,Low-cost trial kit/sample set|Purity/authenticity certificate (NABL lab),Buy more save more (any 3 items 20% off),4.0,Rs 8001-20000,Maybe - need to see quality and pricing first,
PTMB1547,45-59 years,Male,North India,Tier-3 town,Rs 20000-40000,5-6 people (medium family),Homemaker,Aesthetics|Value for money,Tribal or folk art,Birthdays and anniversaries|Housewarming (Griha Pravesh)|Rarely or never give gifts|Weddings,Rs 1500-3500,A few times a week,6-12 months ago,1-2 times,Rs 1-1000,"Curated Corporate Gift Sets (hampers, premium branded packaging)",Rs 1500-4000,Rs 7000-15000,Amazon or Flipkart,Aesthetic beauty|Health and Ayurvedic benefits,Yes - local shops/wholesale/roadside,4,Verified customer reviews with photos|Videos of handcrafting by Moradabad artisans,Buy more save more (any 3 items 20% off),5.0,Rs 3001-8000,Probably yes - explore and very likely purchase,I think of Diwali diyas and temple bells when I hear the word brass.
PTMB1548,35-44 years,Female,North India,Metro city,Below Rs 20000,7+ people (large joint family),Business owner/Entrepreneur,Cultural pride|Value for money,Brass or copper items|Handloom/block-printed home textiles|Silver pooja items/silverware|Woodcraft/hand-carved wooden items,Housewarming (Griha Pravesh)|Rarely or never give gifts|Weddings,Rs 1500-3500,Every single day,3-6 months ago,3-5 times,Rs 1-1000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 1500-4000,Under Rs 1000,Craft fair/haat/mela/exhibition,Health and Ayurvedic benefits|Status and refined taste,No - do not buy brass/traditional products,1,30-day easy return/replacement/refund guarantee|Verified customer reviews with photos,Free premium gift wrapping + handwritten note,2.0,Rs 1000-3000,Probably yes - explore and very likely purchase,Brass represents the golden legacy of Indian craftsmanship.
PTMB1549,18-24 years,Male,North India,Semi-rural area,Rs 40001-75000,5-6 people (medium family),Student,Sustainability|Value for money,Brass or copper items|Handcrafted jewellery,Diwali|Weddings,Rs 1500-3500,Most days (5-6 days a week),1-3 months ago,More than 10 times,Rs 1-1000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Curated Corporate Gift Sets (hampers, premium branded packaging)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 4000-8000,Rs 15000-30000,Local retail store,Aesthetic beauty|Sustainability,No - want to buy but no trusted brand yet,4,"Purity/authenticity certificate (NABL lab)|Transparency on sourcing (which artisan, which workshop)",Early member access (limited-edition drops),4.0,Rs 3001-8000,Probably yes - explore and very likely purchase,It is the purest metal for puja and daily rituals in our family.
PTMB1550,35-44 years,Female,North India,Tier-3 town,Above Rs 300000,7+ people (large joint family),Salaried - Private sector,Cultural pride|Health & wellness,Antique/vintage collectibles|Handcrafted jewellery|Silver pooja items/silverware,Birthdays and anniversaries|Navratri/Durga Puja/Pongal/regional festivals|Weddings,Rs 7000-15000,Only on weekends,Within last 1 month,1-2 times,Rs 3001-8000,"Brass Urli and Home Decor (urlis, planters, wall art, showpieces)|Curated Corporate Gift Sets (hampers, premium branded packaging)",Rs 4000-8000,Rs 15000-30000,Brand website (direct online),Aesthetic beauty|Cultural and religious significance,Yes - Amazon/Flipkart (unbranded/generic),3,Purity/authenticity certificate (NABL lab)|Videos of handcrafting by Moradabad artisans,Bundle deal (puja set + water vessel at combined price),5.0,Rs 8001-20000,Probably yes - explore and very likely purchase,
PTMB1551,60 years and above,Female,North India,Village or rural area,Below Rs 20000,3-4 people (small nuclear),Salaried - Government/PSU,Cultural pride|Health & wellness,Tribal or folk art,Diwali|Rarely or never give gifts|Weddings,Rs 500-1500,Rarely or never,Never bought,0 times,Rs 0 (did not buy),"Brass Water Vessels (lotas, surahi-style jars, storage vessels)",Under Rs 500,Rs 1000-3000,Local retail store,Aesthetic beauty|Sustainability,No - want to buy but no trusted brand yet,2,30-day easy return/replacement/refund guarantee|Purity/authenticity certificate (NABL lab),Free premium gift wrapping + handwritten note,,Under Rs 1000,Probably yes - explore and very likely purchase,It connects me to my roots and to the artisans of India.
PTMB1552,35-44 years,Male,West India,Tier-2 city,Above Rs 300000,5-6 people (medium family),Business owner/Entrepreneur,Sustainability|Value for money,Antique/vintage collectibles|Handmade pottery/terracotta|Silver pooja items/silverware,Baby showers/naming ceremonies|Corporate gifting|Housewarming (Griha Pravesh)|Navratri/Durga Puja/Pongal/regional festivals,Rs 7000-15000,Only on festivals,More than 1 year ago,1-2 times,Rs 1001-3000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)|Brass Water Vessels (lotas, surahi-style jars, storage vessels)|Kansa/Bronze Wellness Utensils (plates, bowls, glasses)",Rs 1500-4000,Rs 7000-15000,Local retail store,Health and Ayurvedic benefits|Support Indian artisans,No - want to buy but no trusted brand yet,1,30-day easy return/replacement/refund guarantee|Verified customer reviews with photos,No offer needed - buy when I like the product,3.0,Rs 3001-8000,Maybe - need to see quality and pricing first,Brass reminds me of my grandmother's kitchen and feels like home.
PTMB1553,45-59 years,Female,Central India,Tier-3 town,Rs 75001-150000,7+ people (large joint family),Student,Health & wellness|Value for money,Handloom/block-printed home textiles|Tribal or folk art|Woodcraft/hand-carved wooden items,Baby showers/naming ceremonies|Diwali,Rs 7000-15000,Most days (5-6 days a week),6-12 months ago,1-2 times,Rs 8001-20000,"Brass Pooja Articles (diyas, kalash, thali, idols, ghanta)",Rs 8000-15000,Rs 15000-30000,Amazon or Flipkart,Cultural and religious significance|Gifting value,Yes - local shops/wholesale/roadside,2,30-day easy return/replacement/refund guarantee|Purity/authenticity certificate (NABL lab),Festival cashback (15% off Diwali/Navratri/Akshaya Tritiya),3.0,Rs 20001-50000,Probably yes - explore and very likely purchase,To me brass is just a metal - I prefer stainless steel honestly.
